Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Macgregor (ACT)",6429,134,0,11,219,6794,
"Macquarie",2523,59,5,0,120,2703,
"McKellar",2544,56,0,0,144,2749,
"Melba",2957,53,0,0,139,3148,
"Page",2800,40,0,0,184,3023,
"Scullin",2710,46,3,0,172,2931,
"Spence",2417,62,0,0,111,2584,
"Weetangera",2497,10,0,0,72,2575,
"Molonglo Corridor",11,0,0,0,0,14,
"West Belconnen",11,0,0,0,3,16,
"Hume",316,97,0,3,13,424,
"Kowen",26,5,0,0,7,39,
"Canberra East",677,20,0,0,143,837,
"Canberra Airport",97,0,0,0,4,100,
"Majura",147,0,0,0,30,175,
"Amaroo",5426,89,0,0,186,5708,
"Bonner",6333,66,5,9,320,6730,
"Casey",5403,95,0,0,257,5759,
"Crace",4259,46,0,0,157,4456,
"Forde",4108,46,0,0,154,4307,
"Franklin",6098,77,0,0,238,6420,
"Gungahlin",5709,84,0,0,340,6131,
"Hall",261,3,0,0,12,276,
"Harrison",7374,62,0,0,252,7691,
"Mitchell",3,0,0,0,0,3,
"Ngunnawal",9794,177,6,4,503,10486,
"Nicholls",6458,81,0,4,324,6862,
"Palmerston",5203,74,5,0,243,5529,
"Gungahlin - East",0,0,0,0,0,0,
"Gungahlin - West",0,0,0,0,0,0,
"Jacka",642,13,0,0,13,666,
"Kenny",10,0,0,0,0,10,
"Moncrieff",89,5,0,0,9,101,
"Taylor",0,0,0,0,0,0,
"Throsby",0,0,0,0,0,0,
"Acton",1949,14,0,0,126,2086,
"Ainslie",4842,72,0,6,268,5183,
"Braddon",4862,76,0,3,551,5500,
"Civic",3846,32,0,0,400,4275,
"Dickson",2000,28,0,0,128,2148,
"Downer",3399,56,0,0,197,3660,
"Hackett",2804,51,6,0,135,2996,
"Lyneham",4698,42,0,0,380,5114,
"O'Connor (ACT)",5140,52,0,0,286,5477,
"Turner",3603,34,0,0,414,4049,
"Watson",5489,60,4,0,307,5865,
"Black Mountain",0,0,0,0,0,0,
"Campbell",2991,18,0,0,209,3220,
"Duntroon",1636,17,3,4,116,1774,
"Parkes (ACT) - North",5,0,0,0,0,0,
"Reid",1444,24,0,0,174,1640,
"Russell",0,0,0,0,0,0,
"Deakin",2745,26,0,0,110,2874,
"Forrest",1468,3,0,0,136,1609,
"Griffith (ACT)",4250,25,5,3,295,4576,
"Lake Burley Griffin",0,0,0,0,0,0,
"Narrabundah",5386,152,5,4,419,5956,
"Parkes (ACT) - South",0,0,0,0,4,4,
"Red Hill (ACT)",2948,9,3,3,206,3169,
"Yarralumla",2703,21,0,7,169,2888,
"Barton",1319,8,0,0,108,1436,
"Fyshwick",39,4,0,0,7,54,
"Kingston (ACT)",4033,41,3,0,354,4425,
"Banks",4603,161,0,4,195,4967,
"Bonython",3612,85,0,0,81,3783,
"Calwell",5378,97,4,3,270,5761,
"Chisholm",4799,115,5,4,204,5118,
"Conder",4709,126,0,0,220,5059,
"Fadden",2838,22,0,0,88,2953,
"Gilmore",2568,60,0,0,121,2751,
"Gordon (ACT)",7127,187,3,0,298,7610,
"Gowrie (ACT)",2862,70,3,0,121,3055,
"Greenway",1772,24,0,0,96,1892,
"Isabella Plains",4071,107,3,3,222,4403,
"Kambah",13814,323,18,23,718,14900,
"Macarthur",1341,18,0,0,61,1426,
"Monash",5134,109,0,3,183,5428,
"Mount Taylor",0,0,0,0,0,0,
"Oxley (ACT)",1568,44,4,0,71,1697,
"Richardson",2767,114,3,0,120,3008,
"Theodore",3529,117,3,9,145,3799,
"Tuggeranong",20,0,0,0,5,22,
"Wanniassa",7009,194,5,8,305,7511,
"Tuggeranong - West",12,0,0,0,0,12,
"Chapman",2584,21,0,4,80,2687,
"Duffy",2974,35,0,0,149,3162,
"Fisher",2803,30,0,0,170,3000,
"Holder",2466,42,0,0,91,2604,
"Rivett",2949,63,6,0,175,3190,
"Stirling",1992,25,9,4,110,2134,
"Waramanga",2469,42,0,0,115,2627,
"Weston",3383,40,0,0,156,3580,
"Scrivener",4,0,0,0,0,4,
"Chifley",2264,34,0,6,104,2407,
"Curtin",4976,45,0,3,211,5234,
"Farrer",3107,24,0,3,87,3224,
"Garran",3192,27,4,0,278,3499,
"Hughes",2761,33,0,0,194,2993,
"Isaacs",2263,14,0,0,69,2345,
"Lyons (ACT)",2788,43,0,6,248,3089,
"Mawson",3055,52,0,0,145,3254,
"O'Malley",922,0,0,0,70,990,
"Pearce",2422,35,0,5,118,2582,
"Phillip",2653,38,0,0,245,2935,
"Torrens",2113,24,0,0,69,2206,
"Arboretum",5,0,0,0,6,10,
"Coombs",1651,20,3,0,135,1810,
"Denman Prospect",0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,0,
"Molonglo - North",5,0,0,0,0,5,
"Wright",2555,15,0,6,183,2755,
"ACT - South West",504,0,0,0,52,561,
"Namadgi",34,0,0,0,3,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,
"No Usual Address (ACT)",453,29,0,0,59,541,
"Christmas Island",1580,5,7,0,254,1842,
"Cocos (Keeling) Islands",494,3,5,0,42,541,
"Jervis Bay",138,200,0,3,50,395,
"Norfolk Island",1624,6,0,0,110,1748,
"Migratory - Offshore - Shipping (OT)",4,0,0,0,0,4,
"No Usual Address (OT)",48,0,0,0,0,54,
"Total",21341229,590056,32348,26765,1411492,23401891,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


(c) Commonwealth of Australia 2017
